央视,#genre#
CETV-1,http://txycetvbl.centv.cn/cetv1/ypd.m3u8
CETV-2,http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
CETV-2,rtsp://112.111.36.140/PLTV/88888909/224/3221225747/10000100000000060000000000403955_0.smil
CETV-3,http://txycetvbl.centv.cn/cetv3/bjdm.m3u8
CETV-4,rtsp://112.111.36.140/PLTV/88888909/224/3221225748/10000100000000060000000000403956_0.smil
CETV-4,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001348/index.m3u8?
CETV-4,https://live.goodiptv.club/api/bestv.php?id=zgjy4hd8m/8000000
CETV-4,http://txycetvbl.centv.cn/cetv4/zjpd.m3u8
早期教育高清,https://live.goodiptv.club/api/cqyx.php?id=zaojiaoHD

卫视,#genre#
湖南卫视高清,http://[2409:8087:2001:20:2800:0:df6e:eb17]/ott.mobaibox.com/PLTV/肥羊/224/3221227482/index.m3u8
湖南卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001339/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
湖南卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225695/10000100000000060000000000390504_0.smil
湖南卫视高清,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
湖南卫视高清,https://live.goodiptv.club/api/cqyx.php?id=hunanHD
江苏卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001344/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
江苏卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225696/10000100000000060000000000390505_0.smil
江苏卫视高清,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
江苏卫视高清,https://live.goodiptv.club/api/cqyx.php?id=jiangsuHD
浙江卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001345/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
浙江卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225689/10000100000000060000000000390304_0.smil
浙江卫视高清,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
浙江卫视高清,https://live.goodiptv.club/api/cqyx.php?id=zhejiangHD
东方卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001336/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
东方卫视高清,rtsp://112.111.36.140/PLTV/88888909/224/3221225688/10000100000000060000000000390279_0.smil
东方卫视高清,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
东方卫视高清,https://live.goodiptv.club/api/cqyx.php?id=shanghaiHD
北京卫视高清,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001335/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
